Component,Specification,Qty,Unit Cost (INR),Total (INR),Source,Notes
"--- FRAME ---",,,,,,
30×30mm Aluminium Square Tube,2mm wall thickness × 1m lengths,4,400,1600,Local hardware / metal shop,Cut to 450mm arms
3mm AL Sheet (centre plates),200×200mm,2,300,600,Local metal shop,
M5 Bolts + Nuts Kit,M5×20 + M5×30 assorted,1,250,250,Local hardware,
"--- MOTORS ---",,,,,,
SunnySky X4108S 380KV,Brushless outrunner,8,1800,14400,Robu.in / AliExpress,
Motor Mount,M3 pattern CNC AL or 3D printed,8,150,1200,In-house print,
"--- ESC ---",,,,,,
40A BLHeli_S ESC,PWM/DSHOT 40A,8,650,5200,Robu.in,
"--- PROPELLERS ---",,,,,,
13×4.5 CF Propeller CW,Carbon fibre 13 inch CW,4,800,3200,Robu.in,
13×4.5 CF Propeller CCW,Carbon fibre 13 inch CCW,4,800,3200,Robu.in,
"--- FLIGHT CONTROLLER ---",,,,,,
Pixhawk 2.4.8 (clone),STM32F427 ArduPilot compatible,1,2500,2500,Robu.in,
Power Module,Pixhawk power module 90A,1,600,600,Robu.in,
"--- GPS / COMPASS ---",,,,,,
BN-220 UART GPS,GPS + compass UART module,1,600,600,Robu.in,
"--- RECEIVER ---",,,,,,
ELRS EP1 Nano,2.4GHz ELRS receiver,1,800,800,Robu.in,
"--- POWER ---",,,,,,
6S LiPo 16000mAh,6S 22.2V 16000mAh 25C,2,7000,14000,Local hobby shop,
XT60 PDB,8-ESC power distribution XT60,1,600,600,Robu.in,
XT60 Connectors,XT60 pairs (×5),5,60,300,Robu.in,
5V UBEC,5V 3A BEC for receiver/FC,1,300,300,Robu.in,
"--- MISC ---",,,,,,
Telemetry (optional),HC-12 433MHz pair,1,300,300,Robu.in,Budget telemetry option
Wiring,14AWG silicone 1m red+black,1,300,300,Robu.in,
Dupont Cables,40-pin 20cm male-female kit,2,120,240,Robu.in,
Heat Shrink + Ties,Assorted kit,1,200,200,Local,
3D Printed Parts,Arm clamps / mounts (filament cost),1,400,400,In-house,
,,,,,,
TOTAL,,,,~49890,,Under ₹50k build — prices approximate
