Component,Specification,Qty,Unit Cost (INR),Total (INR),Source,Notes
"--- FRAME ---",,,,,, 
Carbon Fibre Tube (arms),25mm OD × 22mm ID × 600mm,8,1200,9600,DragonPlate / Carbon composites,Cut to 500mm each
Carbon Fibre Plate (centre),300×300×3mm CF plate,2,3500,7000,Local composites,Top + bottom plates
Aluminium Standoffs,M5 × 40mm (arms to plates),32,40,1280,Local hardware,
Arm Clamp (3D printed),PLA+ custom clamp for 25mm tube,8,200,1600,In-house / JLCPCB,
"--- MOTORS ---",,,,,,
T-Motor MN5212 340KV,Brushless outrunner for heavy lift,8,4800,38400,T-Motor India / UAVGarage,
Motor Mount Plate,CNC aluminium 40×40mm,8,300,2400,Local machinist,
"--- ESC ---",,,,,,
T-Motor Flame 60A,DSHOT1200 BLHeli_32 60A,8,3200,25600,T-Motor India,
"--- PROPELLERS ---",,,,,,
15×5 CF Propeller CW,Carbon fibre 15 inch CW,4,1800,7200,T-Motor / Robu.in,
15×5 CF Propeller CCW,Carbon fibre 15 inch CCW,4,1800,7200,T-Motor / Robu.in,
Prop Guards (optional),15-inch soft foam ring guards,8,400,3200,Robu.in,Optional
"--- FLIGHT CONTROLLER ---",,,,,,
Cube Orange+,STM32H753 triple-redundant IMU,1,18000,18000,UAVGarage,
Carrier Board (Standard),Standard carrier for Cube Orange+,1,4500,4500,UAVGarage,
"--- GPS / COMPASS ---",,,,,,
Here3+ CAN GPS,RTK-capable CAN GPS + compass,1,7500,7500,UAVGarage,
CAN Splitter,4-port CAN hub,1,800,800,UAVGarage,
"--- RECEIVER ---",,,,,,
ELRS EP2 Nano Receiver,2.4GHz ELRS long-range,1,1200,1200,Robu.in,
"--- POWER ---",,,,,,
6S LiPo 22000mAh,6S 22.2V 22000mAh 25C,2,14000,28000,Hobby King / Local,Parallel pair
XT90 PDB,8-output power distribution board,1,2500,2500,Robu.in,
XT90 Connectors (set),XT90 male+female pairs,5,150,750,Local,
XT60 Parallel Harness,Parallel 2-battery harness XT90,1,600,600,Pre-made / local,
Voltage Regulator,UBEC 5V/5A for FC,1,500,500,Robu.in,
Current Sensor,AttoPilot 180A current/voltage,1,2200,2200,UAVGarage,
"--- PAYLOAD MOUNT ---",,,,,,
Servo (gimbal levelling),DS3225 25kg digital servo,2,1200,2400,Robu.in,
Gimbal Plate,4mm AL plate 200×200mm,1,800,800,Local machinist,
Vibration Dampers,M3 ball-link anti-vibe mounts (×10),1,400,400,Robu.in,
"--- MISC ---",,,,,,
Telemetry Radio,SiK 915MHz pair (air+ground),1,2500,2500,Robu.in,
FPV Camera,Runcam Phoenix 2,1,2500,2500,Robu.in,Optional but recommended
Video TX,Rush Tank Uno 5.8GHz,1,2200,2200,Robu.in,
Wiring Harness,12AWG silicone wire red/black 2m each,1,600,600,Robu.in,
JST-GH Signal Cables,Assorted 6-pin 10cm×10,1,400,400,AliExpress / local,
Heat Shrink Kit,Assorted sizes bulk,1,300,300,Local,
Cable Ties & Velcro,Assorted,1,200,200,Local,
,,,,,,
TOTAL,,,,~360230,,Approximate — prices vary by source
